=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     100
Total Generations:   2000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
Generation 433 | Best Fitness: 85.1091
Generation 434 | Best Fitness: 85.1091
Generation 435 | Best Fitness: 85.1091
Generation 436 | Best Fitness: 85.1091
Generation 437 | Best Fitness: 85.1091
Generation 438 | Best Fitness: 85.1091
Generation 439 | Best Fitness: 85.1091
Generation 440 | Best Fitness: 85.1091
Generation 441 | Best Fitness: 85.1091
Generation 442 | Best Fitness: 85.1091
Generation 443 | Best Fitness: 85.1091
Generation 444 | Best Fitness: 85.1091
Generation 445 | Best Fitness: 85.1091
Generation 446 | Best Fitness: 85.1091
Generation 447 | Best Fitness: 84.7649
Generation 448 | Best Fitness: 84.7649
Generation 449 | Best Fitness: 84.7649
Generation 450 | Best Fitness: 84.7649
Generation 451 | Best Fitness: 84.7649
Generation 452 | Best Fitness: 84.7649
Generation 453 | Best Fitness: 84.7649
Generation 454 | Best Fitness: 84.7649
Generation 455 | Best Fitness: 84.7649
Generation 456 | Best Fitness: 84.7649
Generation 457 | Best Fitness: 84.7649
Generation 458 | Best Fitness: 84.7649
Generation 459 | Best Fitness: 84.7649
Generation 460 | Best Fitness: 84.3371
Generation 461 | Best Fitness: 83.669
Generation 462 | Best Fitness: 83.669
Generation 463 | Best Fitness: 83.669
Generation 464 | Best Fitness: 83.4544
Generation 465 | Best Fitness: 83.4544
Generation 466 | Best Fitness: 83.4544
Generation 467 | Best Fitness: 83.4544
Generation 468 | Best Fitness: 83.4544
Generation 469 | Best Fitness: 83.4544
Generation 470 | Best Fitness: 83.4544
Generation 471 | Best Fitness: 83.1884
Generation 472 | Best Fitness: 83.1884
Generation 473 | Best Fitness: 82.5911
Generation 474 | Best Fitness: 82.5911
Generation 475 | Best Fitness: 82.4713
Generation 476 | Best Fitness: 82.4713
Generation 477 | Best Fitness: 82.4713
Generation 478 | Best Fitness: 82.4713
Generation 479 | Best Fitness: 82.4713
Generation 480 | Best Fitness: 82.4713
Generation 481 | Best Fitness: 82.4713
Generation 482 | Best Fitness: 82.3924
Generation 483 | Best Fitness: 82.3924
Generation 484 | Best Fitness: 82.3924
Generation 485 | Best Fitness: 82.3924
Generation 486 | Best Fitness: 82.0732
Generation 487 | Best Fitness: 82.0732
Generation 488 | Best Fitness: 81.2507
Generation 489 | Best Fitness: 81.2252
Generation 490 | Best Fitness: 81.2252
Generation 491 | Best Fitness: 81.2252
Generation 492 | Best Fitness: 81.2252
Generation 493 | Best Fitness: 81.2252
Generation 494 | Best Fitness: 81.2252
Generation 495 | Best Fitness: 81.2252
Generation 496 | Best Fitness: 81.2252
Generation 497 | Best Fitness: 81.2252
Generation 498 | Best Fitness: 81.2252
Generation 499 | Best Fitness: 81.2252
Generation 500 | Best Fitness: 81.2252
Generation 501 | Best Fitness: 80.8332
Generation 502 | Best Fitness: 80.2836
Generation 503 | Best Fitness: 80.2836
Generation 504 | Best Fitness: 80.2836
Generation 505 | Best Fitness: 80.2836
Generation 506 | Best Fitness: 80.2836
Generation 507 | Best Fitness: 80.2836
Generation 508 | Best Fitness: 80.2836
Generation 509 | Best Fitness: 80.2836
Generation 510 | Best Fitness: 79.9424
Generation 511 | Best Fitness: 79.9424
Generation 512 | Best Fitness: 79.9424
Generation 513 | Best Fitness: 79.9424
Generation 514 | Best Fitness: 79.9424
Generation 515 | Best Fitness: 79.9424
Generation 516 | Best Fitness: 79.9424
Generation 517 | Best Fitness: 79.9424
Generation 518 | Best Fitness: 79.9424
Generation 519 | Best Fitness: 79.9424
Generation 520 | Best Fitness: 79.9424
Generation 521 | Best Fitness: 79.9424
Generation 522 | Best Fitness: 79.9042
Generation 523 | Best Fitness: 79.3682
Generation 524 | Best Fitness: 78.6718
Generation 525 | Best Fitness: 78.6718
Generation 526 | Best Fitness: 78.6718
Generation 527 | Best Fitness: 78.6718
Generation 528 | Best Fitness: 78.6718
Generation 529 | Best Fitness: 78.6718
Generation 530 | Best Fitness: 78.6718
Generation 531 | Best Fitness: 77.9722
Generation 532 | Best Fitness: 77.9722
Generation 533 | Best Fitness: 77.9722
Generation 534 | Best Fitness: 77.9722
Generation 535 | Best Fitness: 77.9722
Generation 536 | Best Fitness: 77.9722
Generation 537 | Best Fitness: 77.9722
Generation 538 | Best Fitness: 76.9437
Generation 539 | Best Fitness: 76.9437
Generation 540 | Best Fitness: 76.9437
Generation 541 | Best Fitness: 76.9437
Generation 542 | Best Fitness: 76.9437
Generation 543 | Best Fitness: 76.9437
Generation 544 | Best Fitness: 76.9437
Generation 545 | Best Fitness: 76.9437
Generation 546 | Best Fitness: 76.9437
Generation 547 | Best Fitness: 76.9437
Generation 548 | Best Fitness: 76.9437
Generation 549 | Best Fitness: 76.7146
Generation 550 | Best Fitness: 76.7146
Generation 551 | Best Fitness: 76.7146
Generation 552 | Best Fitness: 76.7146
Generation 553 | Best Fitness: 76.7146
Generation 554 | Best Fitness: 76.7146
Generation 555 | Best Fitness: 76.7146
Generation 556 | Best Fitness: 76.7146
Generation 557 | Best Fitness: 76.7146
Generation 558 | Best Fitness: 76.7146
Generation 559 | Best Fitness: 76.7146
Generation 560 | Best Fitness: 76.7146
Generation 561 | Best Fitness: 76.6417
Generation 562 | Best Fitness: 75.426
Generation 563 | Best Fitness: 75.426
Generation 564 | Best Fitness: 75.426
Generation 565 | Best Fitness: 74.6202
Generation 566 | Best Fitness: 74.6202
Generation 567 | Best Fitness: 74.6202
Generation 568 | Best Fitness: 74.6202
Generation 569 | Best Fitness: 74.6202
Generation 570 | Best Fitness: 74.6202
Generation 571 | Best Fitness: 74.6202
Generation 572 | Best Fitness: 74.6202
Generation 573 | Best Fitness: 74.6202
Generation 574 | Best Fitness: 74.6202
Generation 575 | Best Fitness: 74.6202
Generation 576 | Best Fitness: 74.6202
Generation 577 | Best Fitness: 74.6202
Generation 578 | Best Fitness: 74.6202
Generation 579 | Best Fitness: 74.6202
Generation 580 | Best Fitness: 74.6202
Generation 581 | Best Fitness: 74.6202
Generation 582 | Best Fitness: 74.6202
Generation 583 | Best Fitness: 74.6202
Generation 584 | Best Fitness: 74.6202
Generation 585 | Best Fitness: 74.6202
Generation 586 | Best Fitness: 74.6202
Generation 587 | Best Fitness: 74.6202
Generation 588 | Best Fitness: 74.6202
Generation 589 | Best Fitness: 74.6202
Generation 590 | Best Fitness: 74.6202
Generation 591 | Best Fitness: 74.6202
Generation 592 | Best Fitness: 74.6202
Generation 593 | Best Fitness: 73.855
Generation 594 | Best Fitness: 73.855
Generation 595 | Best Fitness: 73.855
Generation 596 | Best Fitness: 73.855
Generation 597 | Best Fitness: 73.855
Generation 598 | Best Fitness: 73.855
Generation 599 | Best Fitness: 73.855
Generation 600 | Best Fitness: 73.855
Generation 601 | Best Fitness: 73.6675
Generation 602 | Best Fitness: 73.6647
Generation 603 | Best Fitness: 73.2457
Generation 604 | Best Fitness: 73.0554
Generation 605 | Best Fitness: 72.9433
Generation 606 | Best Fitness: 72.7531
Generation 607 | Best Fitness: 72.7531
Generation 608 | Best Fitness: 72.7531
Generation 609 | Best Fitness: 72.7531
Generation 610 | Best Fitness: 72.7531
