#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         479     1.38016     1.34982  0.00379091
         480      1.3754     1.34987  0.00378339
         481     1.40605     1.34999  0.00377732
         482     1.40513      1.3501  0.00377122
         483     1.40552     1.35022  0.00376516
         484     1.38809      1.3503  0.00375819
         485     1.38444     1.35037   0.0037511
         486     1.37422     1.35042   0.0037437
         487     1.36201     1.35044  0.00373609
         488      1.3528     1.35044  0.00372844
         489     1.34075     1.35042  0.00372087
         490     1.35767     1.35044   0.0037133
         491     1.36891     1.35048  0.00370593
         492     1.34295     1.35046  0.00369843
         493     1.33033     1.35042  0.00369115
         494     1.29873     1.35032  0.00368517
         495     1.30233     1.35022  0.00367899
         496     1.31628     1.35015  0.00367221
         497     1.32092     1.35009   0.0036653
         498     1.32985     1.35005  0.00365816
         499     1.33617     1.35002  0.00365094
         500     1.32232     1.34997  0.00364406
