#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         710        0.32   0.0701972  0.00875605
         711         0.2   0.0703797  0.00874564
         712       -0.16   0.0700562  0.00873934
         713           0   0.0699579  0.00872764
         714           0   0.0698599  0.00871596
         715       -0.16   0.0695385   0.0087097
         716       -0.08   0.0693296  0.00870004
         717        0.12   0.0694003  0.00868819
         718           0   0.0693036  0.00867663
         719        0.28   0.0695967  0.00866951
         720        0.08   0.0696111  0.00865748
         721         0.2    0.069792  0.00864736
         722        0.24   0.0700277   0.0086386
         723           0   0.0699308  0.00862719
         724       -0.08   0.0697238  0.00861776
         725       -0.28   0.0692414  0.00861936
         726       -0.08   0.0690358  0.00860994
         727        0.04   0.0689959  0.00859819
         728        0.04    0.068956  0.00858647
         729       -0.24   0.0685322  0.00858515
         730       -0.16   0.0682192  0.00857909
         731        0.12     0.06829  0.00856765
         732        0.24   0.0685246  0.00855916
         733        0.12   0.0685948  0.00854777
         734           0   0.0685014  0.00853663
         735       -0.12   0.0682449  0.00852887
         736       -0.28   0.0677717   0.0085304
