#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         406     1.24552    0.454756    0.101527
         407     1.24835    0.456706    0.101296
         408     1.25248    0.458656    0.101067
         409     1.25641    0.460607    0.100839
         410     1.26106    0.462559    0.100611
         411     1.26684    0.464516    0.100386
         412     1.27297    0.466478    0.100161
         413     1.27934    0.468446   0.0999381
         414     1.28683    0.470423   0.0997162
         415     1.29413    0.472408   0.0994957
         416     1.30231    0.474403   0.0992765
         417     1.31031    0.476407   0.0990587
         418     1.31775     0.47842   0.0988421
         419     1.32501    0.480441   0.0986269
         420     1.33076    0.482465   0.0984128
         421     1.33731    0.484496      0.0982
         422     1.34288     0.48653   0.0979884
         423      1.3486    0.488568   0.0977779
         424     1.35346    0.490608   0.0975686
         425     1.35766    0.492648   0.0973603
         426     1.36118    0.494687   0.0971531
         427     1.36429    0.496723    0.096947
         428     1.36699    0.498756   0.0967418
         429     1.36888    0.500785   0.0965375
         430     1.37024    0.502807   0.0963342
         431     1.37045     0.50482   0.0961317
         432      1.3708    0.506824   0.0959301
         433     1.37114     0.50882   0.0957293
         434     1.37111    0.510807   0.0955293
         435     1.37176    0.512787   0.0953302
         436     1.37175    0.514757   0.0951319
         437     1.37213    0.516719   0.0949345
         438     1.37227    0.518672   0.0947378
         439     1.37369     0.52062    0.094542
         440     1.37525    0.522562   0.0943471
         441     1.37722      0.5245   0.0941531
         442      1.3799    0.526435     0.09396
         443     1.38281    0.528368   0.0937677
         444     1.38572    0.530299   0.0935764
         445      1.3896     0.53223   0.0933861
         446     1.39346    0.534161   0.0931966
         447       1.398    0.536094   0.0930082
         448     1.40272    0.538028   0.0928207
         449     1.40877    0.539968   0.0926342
         450     1.41466    0.541911   0.0924488
         451     1.42084     0.54386   0.0922643
         452     1.42796    0.545816   0.0920809
         453     1.43429    0.547777   0.0918985
         454     1.44123    0.549745   0.0917172
         455       1.448     0.55172   0.0915368
         456      1.4548      0.5537   0.0913575
         457     1.46134    0.555686   0.0911792
         458     1.46829    0.557679   0.0910019
         459     1.47513    0.559677   0.0908256
         460     1.48183    0.561682   0.0906503
         461     1.48787    0.563691   0.0904759
         462     1.49394    0.565705   0.0903025
         463     1.49879     0.56772   0.0901299
         464     1.50481     0.56974   0.0899583
         465      1.5098    0.571761   0.0897875
         466      1.5142    0.573784   0.0896176
         467     1.51799    0.575806   0.0894485
         468     1.52162    0.577827   0.0892802
         469     1.52576    0.579848   0.0891127
         470     1.52918    0.581868    0.088946
         471     1.53234    0.583886   0.0887801
         472     1.53447      0.5859   0.0886148
         473     1.53603    0.587908   0.0884502
         474     1.53651     0.58991   0.0882863
         475     1.53685    0.591903   0.0881229
         476     1.53656    0.593888   0.0879601
         477     1.53564    0.595862   0.0877979
         478     1.53362    0.597824   0.0876361
         479     1.53148    0.599773   0.0874748
         480     1.52901    0.601709    0.087314
         481     1.52531    0.603629   0.0871536
         482     1.52163    0.605534   0.0869936
         483     1.51683     0.60742   0.0868339
         484     1.51148    0.609288   0.0866746
         485     1.50688    0.611139   0.0865157
         486     1.50144    0.612971    0.086357
         487     1.49646    0.614785   0.0861988
         488     1.49252    0.616584   0.0860409
         489     1.48757    0.618365   0.0858834
         490     1.48314     0.62013   0.0857262
         491     1.47887    0.621879   0.0855695
         492      1.4753    0.623613   0.0854131
         493      1.4718    0.625334   0.0852572
         494      1.4699    0.627043   0.0851018
         495     1.46918    0.628745   0.0849468
         496     1.46825    0.630437   0.0847924
         497     1.46789    0.632122   0.0846386
         498     1.46837    0.633801   0.0844853
         499     1.46997    0.635477   0.0843326
         500     1.47198     0.63715   0.0841805
         501     1.47491    0.638822   0.0840291
         502     1.47924    0.640496   0.0838784
         503     1.48354    0.642172   0.0837284
         504     1.48972    0.643854   0.0835791
         505     1.49682    0.645543   0.0834307
         506     1.50554    0.647243   0.0832831
         507     1.51465    0.648954   0.0831364
         508     1.52387    0.650676   0.0829906
         509     1.53366    0.652411   0.0828457
         510      1.5442    0.654159   0.0827017
         511     1.55618    0.655924   0.0825587
         512     1.56904    0.657708   0.0824167
         513       1.582     0.65951   0.0822757
         514     1.59524     0.66133   0.0821358
         515     1.60939    0.663171   0.0819969
         516     1.62318    0.665031   0.0818591
         517       1.637    0.666911   0.0817224
         518     1.65294    0.668815   0.0815868
         519     1.66827    0.670741   0.0814523
         520     1.68387    0.672689    0.081319
         521     1.69918    0.674659   0.0811867
         522     1.71318    0.676649   0.0810556
         523     1.72771    0.678658   0.0809255
         524     1.74248    0.680689   0.0807965
         525      1.7572    0.682739   0.0806687
         526     1.77063    0.684807   0.0805418
         527     1.78419    0.686894    0.080416
         528     1.79736    0.688997   0.0802912
         529     1.81038    0.691117   0.0801674
         530     1.82276    0.693252   0.0800446
         531     1.83545    0.695403   0.0799227
         532     1.84726    0.697568   0.0798018
         533     1.85938    0.699748   0.0796818
         534     1.87037     0.70194   0.0795628
         535     1.87999    0.704142   0.0794445
         536     1.88944    0.706353   0.0793271
         537     1.89942    0.708575   0.0792105
         538     1.90897    0.710806   0.0790946
         539     1.91782    0.713045   0.0789796
         540     1.92666    0.715293   0.0788653
         541     1.93353    0.717545   0.0787517
         542     1.94079    0.719802   0.0786387
         543     1.94722    0.722062   0.0785264
         544     1.95251    0.724324   0.0784146
         545     1.95733    0.726586   0.0783033
         546     1.96164    0.728848   0.0781926
         547     1.96466    0.731108   0.0780823
         548     1.96683    0.733363   0.0779723
         549     1.96835    0.735612   0.0778628
         550     1.96869    0.737854   0.0777535
         551     1.96855    0.740088   0.0776444
         552     1.96693     0.74231   0.0775356
         553     1.96454     0.74452   0.0774268
         554     1.96112    0.746716   0.0773182
         555     1.95786    0.748899   0.0772097
         556     1.95286    0.751064   0.0771012
         557     1.94684    0.753211   0.0769927
         558     1.93957    0.755337    0.076884
         559     1.93084     0.75744   0.0767752
         560     1.92091    0.759517   0.0766662
         561     1.91077    0.761569    0.076557
         562     1.89975    0.763595   0.0764476
         563     1.88836    0.765593   0.0763379
         564     1.87592    0.767561    0.076228
         565     1.86297      0.7695   0.0761177
         566     1.84905    0.771407   0.0760071
         567     1.83399    0.773281   0.0758961
         568     1.81854    0.775122   0.0757848
         569     1.80204    0.776926   0.0756731
         570     1.78572    0.778696   0.0755611
         571     1.76842     0.78043   0.0754486
         572     1.75117    0.782127   0.0753358
         573     1.73374    0.783787   0.0752226
         574     1.71545     0.78541   0.0751091
         575     1.69658    0.786995   0.0749952
         576     1.67765    0.788541   0.0748809
         577     1.65891     0.79005   0.0747663
         578     1.63895    0.791518   0.0746514
         579     1.61898    0.792948   0.0745361
         580     1.59855    0.794337   0.0744206
         581     1.57741    0.795684   0.0743047
         582     1.55678    0.796992   0.0741885
         583     1.53619     0.79826   0.0740721
         584     1.51491    0.799487   0.0739554
         585     1.49317    0.800673   0.0738385
         586     1.47098    0.801817   0.0737214
         587     1.44905    0.802919    0.073604
         588     1.42715    0.803981   0.0734865
         589     1.40526    0.805002   0.0733688
         590     1.38267    0.805981    0.073251
         591     1.36083     0.80692   0.0731331
         592     1.33879    0.807818   0.0730151
         593     1.31584    0.808675    0.072897
         594     1.29298     0.80949   0.0727788
         595     1.26999    0.810264   0.0726606
         596     1.24644    0.810996   0.0725424
         597     1.22285    0.811686   0.0724241
         598     1.19953    0.812335   0.0723059
         599     1.17677    0.812943   0.0721878
         600     1.15369    0.813511   0.0720697
         601     1.13109    0.814039   0.0719517
         602     1.10856    0.814529   0.0718339
         603     1.08643    0.814979   0.0717161
         604      1.0643    0.815392   0.0715986
         605     1.04345    0.815769   0.0714812
         606     1.02229     0.81611   0.0713641
         607     1.00353    0.816419   0.0712472
         608    0.985324    0.816697   0.0711306
         609    0.967501    0.816944   0.0710142
         610    0.951325    0.817164   0.0708981
         611    0.935403    0.817358   0.0707823
         612    0.921226    0.817528   0.0706669
         613    0.907386    0.817674   0.0705518
         614    0.894875      0.8178    0.070437
         615    0.883469    0.817907   0.0703225
         616     0.87318    0.817997   0.0702084
         617    0.864008    0.818071   0.0700947
         618     0.85498    0.818131   0.0699813
         619    0.847768    0.818179   0.0698682
         620    0.841868    0.818217   0.0697556
         621    0.835319    0.818244   0.0696432
         622     0.83121    0.818265   0.0695313
         623    0.828053    0.818281   0.0694197
         624    0.826279    0.818294   0.0693084
         625     0.82487    0.818304   0.0691975
         626    0.824248    0.818314    0.069087
         627    0.825311    0.818325   0.0689768
         628    0.824867    0.818335    0.068867
         629    0.826457    0.818348   0.0687575
         630    0.827374    0.818363   0.0686483
         631    0.829237     0.81838   0.0685395
         632    0.831745    0.818401   0.0684311
         633    0.834355    0.818426    0.068323
         634    0.837976    0.818457   0.0682152
         635    0.841595    0.818493   0.0681078
         636    0.845649    0.818536   0.0680008
         637    0.850338    0.818586    0.067894
         638    0.854666    0.818643   0.0677876
         639    0.858123    0.818704   0.0676816
         640     0.86237    0.818773   0.0675759
         641    0.866668    0.818847   0.0674705
         642     0.87124    0.818929   0.0673654
         643    0.875832    0.819018   0.0672607
         644    0.879953    0.819112   0.0671563
         645     0.88335    0.819212   0.0670523
         646    0.888666    0.819319   0.0669486
         647    0.893962    0.819435   0.0668452
         648    0.898504    0.819557   0.0667422
         649    0.903249    0.819686   0.0666395
         650    0.907702    0.819821   0.0665371
         651     0.91256    0.819963    0.066435
         652    0.915639     0.82011   0.0663333
         653    0.918842    0.820261   0.0662319
         654    0.922146    0.820417   0.0661308
         655    0.924561    0.820576     0.06603
         656     0.92823     0.82074   0.0659296
         657    0.931926     0.82091   0.0658294
         658    0.935381    0.821083   0.0657296
         659    0.937614     0.82126   0.0656301
         660    0.939574     0.82144   0.0655309
         661    0.941968    0.821622    0.065432
         662    0.944074    0.821807   0.0653334
         663    0.945176    0.821993   0.0652352
         664    0.946489     0.82218   0.0651372
         665    0.947549    0.822369   0.0650395
         666    0.947899    0.822557   0.0649421
         667    0.949018    0.822747    0.064845
         668    0.949977    0.822938   0.0647483
         669    0.950341    0.823128   0.0646517
         670    0.950397    0.823318   0.0645555
         671    0.951157    0.823508   0.0644596
         672    0.951707    0.823699    0.064364
         673    0.952098     0.82389   0.0642686
         674      0.9531    0.824082   0.0641735
         675    0.954274    0.824275   0.0640788
         676    0.955662    0.824469   0.0639843
         677    0.956337    0.824664     0.06389
         678    0.956812    0.824859   0.0637961
         679    0.959274    0.825057   0.0637025
         680    0.961337    0.825257   0.0636091
         681    0.963254     0.82546    0.063516
         682    0.965032    0.825664   0.0634232
         683    0.967872    0.825872   0.0633307
         684    0.970806    0.826084   0.0632385
         685    0.974548    0.826301   0.0631465
         686    0.978594    0.826523   0.0630549
         687    0.983164    0.826751   0.0629635
         688    0.988954    0.826987   0.0628724
