#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         404      1.5968      1.5963 4.26709e-05
         405     1.59642      1.5963 4.25666e-05
         406     1.59633      1.5963 4.24618e-05
         407     1.59586      1.5963  4.2371e-05
         408     1.59593      1.5963 4.22765e-05
         409     1.59619      1.5963 4.21739e-05
         410     1.59667      1.5963 4.20812e-05
         411     1.59664      1.5963  4.1987e-05
         412     1.59674      1.5963 4.18985e-05
         413     1.59653      1.5963 4.18008e-05
         414     1.59701      1.5963 4.17354e-05
         415     1.59667      1.5963 4.16444e-05
         416     1.59665      1.5963 4.15527e-05
         417     1.59644      1.5963 4.14544e-05
         418     1.59692      1.5963 4.13812e-05
         419     1.59579      1.5963 4.13008e-05
         420     1.59661      1.5963 4.12088e-05
         421     1.59666     1.59631 4.11194e-05
         422     1.59671     1.59631 4.10331e-05
         423     1.59627     1.59631 4.09362e-05
         424      1.5964     1.59631 4.08402e-05
         425     1.59689     1.59631 4.07672e-05
         426      1.5972     1.59631 4.07257e-05
         427     1.59599     1.59631 4.06371e-05
         428      1.5961     1.59631 4.05451e-05
         429     1.59639     1.59631 4.04511e-05
         430     1.59558     1.59631 4.03925e-05
         431     1.59644     1.59631 4.02999e-05
         432     1.59632     1.59631 4.02066e-05
         433     1.59637     1.59631  4.0114e-05
         434     1.59657     1.59631 4.00263e-05
         435     1.59713     1.59631 3.99792e-05
         436     1.59614     1.59631 3.98894e-05
         437     1.59605     1.59631 3.98026e-05
         438      1.5963     1.59631 3.97118e-05
         439     1.59558     1.59631 3.96561e-05
         440      1.5965     1.59631 3.95685e-05
         441     1.59663     1.59631 3.94853e-05
         442     1.59722     1.59631 3.94501e-05
         443     1.59662     1.59631 3.93672e-05
         444     1.59639     1.59631  3.9279e-05
         445     1.59601     1.59631 3.91965e-05
         446     1.59623     1.59631  3.9109e-05
         447     1.59691     1.59631 3.90447e-05
         448     1.59702     1.59631 3.89892e-05
         449     1.59651     1.59631 3.89048e-05
         450     1.59651     1.59631 3.88208e-05
         451     1.59597     1.59631 3.87424e-05
         452     1.59593     1.59631 3.86658e-05
         453      1.5963     1.59631 3.85805e-05
         454     1.59658     1.59631 3.85001e-05
         455     1.59694     1.59631 3.84401e-05
         456     1.59642     1.59631 3.83564e-05
         457      1.5967     1.59632 3.82816e-05
         458     1.59594     1.59631  3.8207e-05
         459     1.59608     1.59631  3.8127e-05
         460     1.59647     1.59631 3.80456e-05
         461     1.59669     1.59632 3.79719e-05
         462     1.59633     1.59632 3.78897e-05
         463     1.59662     1.59632 3.78135e-05
         464      1.5966     1.59632  3.7737e-05
         465     1.59654     1.59632  3.7659e-05
         466     1.59625     1.59632 3.75784e-05
         467     1.59588     1.59632 3.75098e-05
         468      1.5964     1.59632 3.74301e-05
         469     1.59636     1.59632 3.73504e-05
         470     1.59664     1.59632 3.72774e-05
         471     1.59606     1.59632 3.72023e-05
         472     1.59641     1.59632  3.7124e-05
         473     1.59631     1.59632 3.70455e-05
         474     1.59642     1.59632  3.6968e-05
         475     1.59627     1.59632 3.68903e-05
         476     1.59612     1.59632 3.68152e-05
         477     1.59623     1.59632 3.67385e-05
         478     1.59613     1.59632 3.66636e-05
         479     1.59643     1.59632 3.65878e-05
         480     1.59701     1.59632 3.65401e-05
         481     1.59672     1.59632 3.64736e-05
         482     1.59611     1.59632 3.64006e-05
         483     1.59633     1.59632 3.63252e-05
         484     1.59604     1.59632 3.62545e-05
         485     1.59612     1.59632 3.61822e-05
         486     1.59661     1.59632 3.61129e-05
         487      1.5967     1.59632 3.60472e-05
         488     1.59688     1.59632 3.59914e-05
         489     1.59591     1.59632 3.59274e-05
         490     1.59647     1.59632 3.58555e-05
         491     1.59623     1.59632 3.57829e-05
         492     1.59643     1.59632 3.57109e-05
         493     1.59623     1.59632 3.56388e-05
         494     1.59664     1.59632 3.55726e-05
         495     1.59744     1.59632 3.55726e-05
         496     1.59667     1.59632 3.55077e-05
         497     1.59667     1.59632 3.54431e-05
         498     1.59675     1.59632 3.53823e-05
         499     1.59614     1.59632 3.53132e-05
         500     1.59674     1.59632 3.52526e-05
