# SA_step Temperature Mu Sigma
0 1 2 1.5
641 0.0402341 0.796804 0.575265
642 0.040033 0.796804 0.575265
643 0.0398328 0.796804 0.575265
644 0.0396336 0.742738 0.620709
645 0.0394355 0.800582 0.657225
646 0.0392383 0.800582 0.657225
647 0.0390421 0.8181 0.594021
648 0.0388469 0.826557 0.579577
649 0.0386527 0.826557 0.579577
650 0.0384594 0.826557 0.579577
651 0.0382671 0.826557 0.579577
652 0.0380758 0.826557 0.579577
653 0.0378854 0.826557 0.579577
654 0.037696 0.826557 0.579577
655 0.0375075 0.826557 0.579577
656 0.0373199 0.826557 0.579577
657 0.0371333 0.826557 0.579577
658 0.0369477 0.763633 0.584308
659 0.0367629 0.763633 0.584308
660 0.0365791 0.795903 0.63414
661 0.0363962 0.795903 0.63414
662 0.0362142 0.795903 0.63414
663 0.0360332 0.795903 0.63414
664 0.035853 0.711818 0.666244
665 0.0356737 0.647194 0.59426
666 0.0354954 0.647194 0.59426
667 0.0353179 0.647194 0.59426
668 0.0351413 0.70233 0.556421
669 0.0349656 0.70233 0.556421
670 0.0347908 0.783762 0.586543
671 0.0346168 0.801627 0.635584
672 0.0344437 0.882575 0.592768
673 0.0342715 0.815825 0.543813
674 0.0341002 0.719125 0.60047
675 0.0339297 0.719125 0.60047
676 0.03376 0.725348 0.624587
677 0.0335912 0.738396 0.711208
678 0.0334233 0.799174 0.705466
679 0.0332561 0.709181 0.715919
680 0.0330899 0.717045 0.641448
681 0.0329244 0.698009 0.575584
682 0.0327598 0.659634 0.669858
683 0.032596 0.659634 0.669858
684 0.032433 0.659634 0.669858
685 0.0322708 0.659634 0.669858
686 0.0321095 0.659634 0.669858
687 0.0319489 0.724372 0.719565
688 0.0317892 0.724372 0.719565
689 0.0316303 0.677306 0.761644
690 0.0314721 0.677306 0.761644
691 0.0313147 0.635756 0.794509
692 0.0311582 0.557505 0.779356
693 0.0310024 0.557505 0.779356
694 0.0308474 0.470637 0.756977
695 0.0306931 0.542692 0.722111
696 0.0305397 0.542692 0.722111
697 0.030387 0.568724 0.821797
698 0.030235 0.622605 0.845266
699 0.0300839 0.582399 0.940999
700 0.0299334 0.582399 0.940999
701 0.0297838 0.574505 0.857818
702 0.0296348 0.574505 0.857818
703 0.0294867 0.574505 0.857818
704 0.0293392 0.564242 0.851008
705 0.0291925 0.48468 0.875663
706 0.0290466 0.48468 0.875663
707 0.0289013 0.510325 0.85979
708 0.0287568 0.590809 0.86363
709 0.0286131 0.511303 0.788632
710 0.02847 0.587397 0.828193
711 0.0283276 0.587397 0.828193
712 0.028186 0.587397 0.828193
713 0.0280451 0.587397 0.828193
714 0.0279048 0.587397 0.828193
715 0.0277653 0.550667 0.75713
716 0.0276265 0.550667 0.75713
