# SA_step Temperature Energy Energy_error
664 0.035853 -0.409461 0.00110397
665 0.0356737 -0.358766 0.00119039
666 0.0354954 -0.358766 0.00119039
667 0.0353179 -0.358766 0.00119039
668 0.0351413 -0.385066 0.00117612
669 0.0349656 -0.385066 0.00117612
670 0.0347908 -0.437863 0.000920428
671 0.0346168 -0.441085 0.00117561
672 0.0344437 -0.412223 0.00126494
673 0.0342715 -0.39312 0.00166839
674 0.0341002 -0.419478 0.000670888
675 0.0339297 -0.419478 0.000670888
676 0.03376 -0.424873 0.000858095
677 0.0335912 -0.396255 0.00154664
678 0.0334233 -0.399612 0.00190832
679 0.0332561 -0.384634 0.00168241
680 0.0330899 -0.417323 0.000763384
681 0.0329244 -0.395785 0.0010677
682 0.0327598 -0.377035 0.0011833
683 0.032596 -0.377035 0.0011833
684 0.032433 -0.377035 0.0011833
685 0.0322708 -0.377035 0.0011833
686 0.0321095 -0.377035 0.0011833
687 0.0319489 -0.387522 0.00145981
688 0.0317892 -0.387522 0.00145981
689 0.0316303 -0.349923 0.00193035
690 0.0314721 -0.349923 0.00193035
691 0.0313147 -0.322562 0.00230316
692 0.0311582 -0.299116 0.00160503
693 0.0310024 -0.299116 0.00160503
694 0.0308474 -0.244492 0.00155563
695 0.0306931 -0.286447 0.00150356
696 0.0305397 -0.286447 0.00150356
697 0.030387 -0.300448 0.00157455
698 0.030235 -0.29324 0.00294336
699 0.0300839 -0.219582 0.00509038
700 0.0299334 -0.219582 0.00509038
701 0.0297838 -0.283848 0.00254565
702 0.0296348 -0.283848 0.00254565
703 0.0294867 -0.283848 0.00254565
704 0.0293392 -0.288926 0.00209974
705 0.0291925 -0.274125 0.00277767
706 0.0290466 -0.274125 0.00277767
707 0.0289013 -0.275533 0.00198751
708 0.0287568 -0.282501 0.00331575
709 0.0286131 -0.278816 0.00162547
710 0.02847 -0.304636 0.00209829
711 0.0283276 -0.304636 0.00209829
712 0.028186 -0.304636 0.00209829
713 0.0280451 -0.304636 0.00209829
714 0.0279048 -0.304636 0.00209829
715 0.0277653 -0.296897 0.0017311
716 0.0276265 -0.296897 0.0017311
717 0.0274884 -0.311007 0.00157586
718 0.0273509 -0.272242 0.00151617
719 0.0272142 -0.311908 0.00159567
720 0.0270781 -0.330762 0.00208039
721 0.0269427 -0.330762 0.00208039
722 0.026808 -0.32413 0.00157844
723 0.026674 -0.32322 0.00210741
724 0.0265406 -0.32322 0.00210741
725 0.0264079 -0.297412 0.00320494
726 0.0262758 -0.336062 0.001685
727 0.0261445 -0.359218 0.00155225
